# Jax version:  0.4.28
# CPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time (us)  BW(GB/s)  
       100     539957       0.0012            1.008            1.867      0.643
       151     521213     0.001812            1.007            1.932      0.938
       228     528351     0.002736            1.018            1.927      1.420
       345     483258      0.00414            1.004            2.078      1.992
       522     485149     0.006264            1.028            2.119      2.956
       789     476057     0.009468            1.016            2.134      4.436
      1193     471981      0.01432            1.033            2.188      6.542
      1804     450539      0.02165            1.011            2.245      9.644
      2728     429380      0.03274            1.027            2.391     13.690
      4124     402668      0.04949            1.026            2.548     19.420
      6235     385636      0.07482            1.019            2.642     28.317
      9426     342934       0.1131            1.017            2.966     38.138
     14251     295150        0.171            1.008            3.414     50.094
     21544     249707       0.2585            0.975            3.905     66.198
     32570     204068       0.3908            1.024             5.02     77.861
     49238     156635       0.5909            1.050            6.703     88.154
     74438     112213       0.8933            1.005            8.959     99.705
    112533      80964         1.35            1.140            14.07     95.945
    170125      41622        2.042            1.135            27.28     74.837
    257191      20285        3.086            1.015            50.02     61.701
    388815      13301        4.666            1.018            76.51     60.983
    587801       8593        7.054            0.991            115.3     61.175
    888623       5762        10.66            0.992            172.1     61.959
   1343399       3917        16.12            1.033            263.7     61.134
   2030917       2461        24.37            1.048            425.7     57.252
   3070290       1382        36.84            1.118            809.1     45.535
   4641588        683         55.7            1.062             1555     35.824
   7017038        413         84.2            1.035             2506     33.596
  10608183         94        127.3            1.025         1.09e+04     11.678
  16037187         61        192.4            1.011        1.657e+04     11.617
  24244620         40        290.9            1.008         2.52e+04     11.543
  36652412         26        439.8            0.985        3.788e+04     11.612
  55410203         17        664.9            0.968        5.691e+04     11.683
  83767764         11         1005            0.954        8.669e+04     11.596
 126638017          7         1520            0.920        1.315e+05     11.559
 191448197          5         2297            0.992        1.983e+05     11.583
 289426612          3         3473            0.893        2.977e+05     11.666
 437547937          2         5251            0.899        4.494e+05     11.683
 661474064          1         7938            0.672        6.723e+05     11.807
1000000000          1      1.2e+04            1.018        1.018e+06     11.783
