# Numpy version:  1.26.2
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100    2186702       0.0012            1.010           0.4621      2.597
       151    2128087     0.001812            0.997           0.4683      3.869
       228    2101811     0.002736            1.001           0.4763      5.744
       345    1939626      0.00414            0.996           0.5137      8.059
       522    1805289     0.006264            0.998           0.5527     11.334
       789    1749313     0.009468            0.996           0.5691     16.635
      1193    1672100      0.01432            0.999           0.5977     23.951
      1804    1543520      0.02165            0.998           0.6468     33.469
      2728    1152197      0.03274            0.982           0.8527     38.390
      4124     810151      0.04949            0.997            1.231     40.205
      6235     552894      0.07482            1.001             1.81     41.346
      9426     397573       0.1131            1.000            2.516     44.960
     14251     284714        0.171            0.999            3.508     48.745
     21544     195920       0.2585            1.000            5.104     50.648
     32570     135017       0.3908            1.000            7.408     52.762
     49238     129020       0.5909            0.996            7.716     76.572
     74438      61643       0.8933            1.003            16.28     54.881
    112533      39345         1.35            1.003             25.5     52.947
    170125      23854        2.042            0.989            41.46     49.245
    257191      11844        3.086            0.998            84.24     36.638
    388815       7261        4.666            1.014            139.7     33.406
    587801       5503        7.054            0.991            180.1     39.157
    888623       3530        10.66            0.985              279     38.214
   1343399       2261        16.12            1.026            453.9     35.514
   2030917       1577        24.37            1.007            638.3     38.182
   3070290        892        36.84            0.984             1103     33.406
   4641588        481         55.7            1.002             2082     26.751
   7017038        291         84.2            0.987             3393     24.820
  10608183        127        127.3            0.989             7791     16.340
  16037187         82        192.4            0.999        1.218e+04     15.802
  24244620         53        290.9            0.989        1.866e+04     15.588
  36652412         34        439.8            0.971        2.856e+04     15.402
  55410203         23        664.9            0.992        4.315e+04     15.410
  83767764         15         1005            0.983        6.552e+04     15.342
 126638017         10         1520            0.989        9.886e+04     15.372
 191448197          6         2297            0.898        1.496e+05     15.358
 289426612          4         3473            0.905        2.262e+05     15.354
 437547937          2         5251            0.683        3.415e+05     15.374
 661474064          1         7938            0.518        5.177e+05     15.334
1000000000          1      1.2e+04            0.780        7.799e+05     15.386
