# Torch version:  2.3.0+cu121
# CPU
# Torch threads:  1
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100     473016       0.0012            1.007            2.129      0.564
       151     457846     0.001812            0.986            2.154      0.841
       228     463705     0.002736            1.000            2.157      1.268
       345     463568      0.00414            0.996            2.148      1.928
       522     461415     0.006264            1.009            2.187      2.864
       789     453989     0.009468            0.998            2.198      4.308
      1193     446918      0.01432            1.003            2.244      6.380
      1804     430983      0.02165            1.001            2.324      9.316
      2728     404948      0.03274            1.007            2.488     13.159
      4124     374419      0.04949            0.996            2.661     18.598
      6235     343889      0.07482            0.999            2.906     25.747
      9426     299905       0.1131            1.028            3.428     32.993
     14251     252451        0.171            0.999            3.958     43.211
     21544     203405       0.2585            1.001            4.923     52.513
     32570     156471       0.3908            1.004            6.414     60.937
     49238     115874       0.5909            1.000            8.629     68.474
     74438      83272       0.8933            1.001            12.02     74.293
    112533      46990         1.35            1.009            21.47     62.895
    170125      21668        2.042            1.053            48.62     41.991
    257191      12074        3.086            0.992            82.17     37.560
    388815       7150        4.666            0.951              133     35.081
    587801       4883        7.054            0.960            196.6     35.875
    888623       3374        10.66            1.017            301.4     35.377
   1343399       1969        16.12            0.937            475.7     33.887
   2030917       1307        24.37            1.003            767.6     31.750
   3070290        693        36.84            0.985             1421     25.929
   4641588        376         55.7            1.016             2702     20.615
   7017038        233         84.2            1.013             4347     19.370
  10608183         70        127.3            0.973         1.39e+04      9.157
  16037187         46        192.4            0.982        2.136e+04      9.011
  24244620         30        290.9            0.986        3.286e+04      8.855
  36652412         20        439.8            0.970        4.848e+04      9.072
  55410203         13        664.9            0.960        7.381e+04      9.008
  83767764          8         1005            0.886        1.107e+05      9.078
 126638017          4         1520            0.672        1.679e+05      9.050
 191448197          2         2297            0.508         2.54e+05      9.044
 289426612          1         3473            0.382         3.82e+05      9.091
 437547937          1         5251            0.581        5.805e+05      9.045
 661474064          1         7938            0.877        8.766e+05      9.055
1000000000          1      1.2e+04            1.329        1.329e+06      9.030
