# Torch version:  2.4.0+cu124
# CPU
# Torch threads:  1
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100          1       0.0012            0.000            43.23      0.028
       151     166636     0.001812            0.992            5.953      0.304
       228     165528     0.002736            1.022            6.173      0.443
       345     162560      0.00414            1.004            6.176      0.670
       522     161882     0.006264            0.992            6.128      1.022
       789     164636     0.009468            1.005            6.106      1.551
      1193     164938      0.01432            1.000            6.062      2.362
      1804     163623      0.02165            1.007            6.153      3.518
      2728     160666      0.03274            1.008            6.272      5.219
      4124     158059      0.04949            1.000            6.324      7.825
      6235     152947      0.07482            1.007            6.583     11.366
      9426     142132       0.1131            0.979            6.887     16.424
     14251     140403        0.171            0.994            7.077     24.165
     21544     132704       0.2585            1.001            7.544     34.270
     32570     119700       0.3908            1.007            8.412     46.461
     49238     104546       0.5909            1.003            9.593     61.595
     74438      86479       0.8933            1.001            11.58     77.143
    112533      57370         1.35            1.004             17.5     77.171
    170125      31849        2.042            1.003            31.49     64.834
    257191      17329        3.086            1.018            58.76     52.524
    388815      11156        4.666            0.984            88.18     52.910
    587801       8165        7.054            1.029              126     55.997
    888623       5534        10.66            1.040            187.9     56.743
   1343399       3565        16.12            1.001            280.9     57.392
   2030917       2338        24.37            1.058            452.6     53.849
   3070290       1308        36.84            0.998              763     48.287
   4641588        675         55.7            0.996             1476     37.733
   7017038        405         84.2            1.013             2501     33.671
  10608183        256        127.3            1.001             3911     32.546
  16037187        163        192.4            0.993             6091     31.597
  24244620        106        290.9            0.999             9428     30.857
  36652412         69        439.8            1.001        1.451e+04     30.308
  55410203         46        664.9            1.003        2.181e+04     30.483
  83767764         30         1005            0.993         3.31e+04     30.366
 126638017         19         1520            0.947        4.984e+04     30.491
 191448197          4         2297            0.301        7.513e+04     30.580
 289426612          3         3473            0.339        1.131e+05     30.709
 437547937          2         5251            0.344        1.719e+05     30.553
 661474064          1         7938            0.264        2.643e+05     30.028
1000000000          1      1.2e+04            0.390        3.898e+05     30.785
