# TVM version:  0.17.dev0
# CPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100   10989184       0.0012            0.999          0.09095     13.194
       151   10668324     0.001812            0.998          0.09359     19.361
       228   10248392     0.002736            1.000          0.09761     28.031
       345    9639255      0.00414            0.999           0.1037     39.930
       522    8630160     0.006264            0.984           0.1141     54.919
       789    7656736     0.009468            1.006           0.1314     72.040
      1193    6553765      0.01432            1.011           0.1543     92.800
      1804    5558267      0.02165            1.007           0.1812    119.498
      2728    4161990      0.03274            1.005           0.2414    135.591
      4124    2193496      0.04949            0.974           0.4441    111.430
      6235    1602725      0.07482            1.004           0.6262    119.479
      9426    1161816       0.1131            1.000           0.8604    131.462
     14251     795609        0.171            1.005            1.263    135.401
     21544     540942       0.2585            1.004            1.855    139.350
     32570     371101       0.3908            1.000            2.695    145.003
     49238     246195       0.5909            1.002            4.068    145.230
     74438     168446       0.8933            1.007            5.977    149.445
    112533     101523         1.35            0.998            9.835    137.303
    170125      47538        2.042            1.010            21.24     96.131
    257191      21482        3.086            1.020            47.49     64.985
    388815      13547        4.666            0.997             73.6     63.395
    587801       8231        7.054            0.952            115.6     61.002
    888623       5733        10.66            0.988            172.3     61.888
   1343399       3933        16.12            1.042              265     60.837
   2030917       2361        24.37            0.998            422.9     57.630
   3070290       1311        36.84            1.000            762.7     48.308
   4641588        713         55.7            0.998             1400     39.779
   7017038        438         84.2            1.004             2292     36.739
  10608183        276        127.3            0.996             3610     35.265
  16037187        176        192.4            0.992             5634     34.158
  24244620        114        290.9            0.992             8700     33.440
  36652412         74        439.8            0.988        1.335e+04     32.947
  55410203         49        664.9            0.991        2.022e+04     32.884
  83767764         32         1005            0.983         3.07e+04     32.739
 126638017         21         1520            0.975        4.643e+04     32.727
 191448197         14         2297            0.983        7.022e+04     32.715
 289426612          9         3473            0.957        1.064e+05     32.648
 437547937          6         5251            0.959        1.598e+05     32.864
 661474064          4         7938            0.980        2.451e+05     32.387
1000000000          2      1.2e+04            0.732        3.659e+05     32.797
