#          N      nloop     size(MB)  elapsed time(s)  kernel time(us)   BW(GB/s)
       100     204577       0.0012            0.339            1.659      0.723
       145     208693      0.00174            0.348            1.668      1.043
       211     207911     0.002532            0.347            1.667      1.519
       307     208321     0.003684            0.349            1.674      2.200
       446     206756     0.005352            0.343            1.659      3.225
       649     206647     0.007788            0.344            1.665      4.678
       944     207948      0.01133            0.346            1.663      6.812
      1372     206906      0.01646            0.344            1.661      9.913
      1995     207642      0.02394            0.345            1.663     14.395
      2900     207557       0.0348            0.341            1.645     21.161
      4216     207210      0.05059            0.343            1.654     30.585
      6130     206817      0.07356            0.341            1.649     44.597
      8912     203966       0.1069            0.333            1.632     65.535
     12956     201805       0.1555            0.327            1.622     95.830
     18836     200257        0.226            0.327            1.633    138.451
     27384     197492       0.3286            0.319            1.616    203.343
     39810     194572       0.4777            0.322            1.657    288.358
     57876     188467       0.6945            0.350            1.858    373.836
     84139     180407         1.01            0.360            1.994    506.468
    122320     171143        1.468            0.402            2.347    625.454
    177827     158023        2.134            0.440            2.781    767.219
    258523     143389        3.102            0.493            3.436    902.933
    375837     126961         4.51            0.554            4.366   1033.089
    546386     107114        6.557            0.621              5.8   1130.434
    794328      88507        9.532            0.689             7.79   1223.660
   1154781      69781        13.86            0.747             10.7   1295.048
   1678804      53950        20.15            0.805            14.92   1350.510
   2440619      40398        29.29            0.850            21.03   1392.628
   3548133       5678        42.58            0.971              171    249.039
   5158221       3686         61.9            0.977            265.1    233.518
   7498942       2580        89.99            0.971            376.4    239.097
  10901844       1717        130.8            0.948              552    237.016
  15848931       1101        190.2            0.880            799.4    237.899
  23040929        800        276.5            0.926             1158    238.865
  33496543        539          402            0.959             1779    225.932
  48696752        387        584.4            0.957             2472    236.389
  70794578        262        849.5            0.946             3611    235.254
 102920052        181         1235            0.987             5452    226.541
 149623565        125         1795            0.965             7717    232.665
 217520403         86         2610            0.986        1.146e+04    227.721
