# Jax version:  0.4.28
# GPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time (us)  BW(GB/s)  
       100      26753       0.0012            0.702            26.25      0.046
       128      24601     0.001536            0.653            26.53      0.058
       164      23512     0.001968            0.610            25.93      0.076
       211      24427     0.002532            0.630            25.79      0.098
       271      26781     0.003252            0.695            25.95      0.125
       348      27109     0.004176            0.720            26.56      0.157
       447      24530     0.005364            0.653            26.62      0.202
       574      24614     0.006888            0.643            26.14      0.264
       737      24064     0.008844            0.627            26.04      0.340
       946      25056      0.01135            0.645            25.76      0.441
      1215      25344      0.01458            0.649            25.61      0.569
      1560      24024      0.01872            0.618            25.73      0.727
      2003      61709      0.02404            1.241            20.11      1.195
      2571      48173      0.03085            0.525             10.9      2.830
      3300      58381       0.0396            1.264            21.65      1.829
      4237      23762      0.05084            0.607            25.55      1.990
      5439      24682      0.06527            0.634             25.7      2.539
      6983      23710       0.0838            0.630            26.59      3.152
      8964      25650       0.1076            0.655            25.52      4.215
     11508      24431       0.1381            0.624            25.54      5.407
     14773      21104       0.1773            0.536            25.42      6.974
     18965      24576       0.2276            0.639            25.99      8.757
     24346      26070       0.2922            0.672            25.79     11.326
     31254      26553        0.375            0.680            25.61     14.643
     40122      25080       0.4815            0.649            25.86     18.616
     51506      26403       0.6181            0.682            25.85     23.914
     66120      25934       0.7934            0.668            25.75     30.819
     84881      26497        1.019            0.680            25.66     39.689
    108965      25130        1.308            0.646            25.72     50.835
    139882      26281        1.679            0.674            25.64     65.476
    179571      24565        2.155            0.655            26.66     80.836
    230521      24353        2.766            0.645            26.49    104.417
    295928      26869        3.551            0.715             26.6    133.477
    379892      26376        4.559            0.698            26.46    172.318
    487680      25301        5.852            0.675            26.69    219.224
    626051      24760        7.513            0.661            26.69    281.521
    803682      26681        9.644            0.707            26.51    363.833
   1031713      24971        12.38            0.667             26.7    463.673
   1324444      14863        15.89            0.352            23.66    671.718
   1700233      29062         20.4            0.515            17.71   1151.902
   2182644      22038        26.19            1.037            47.06    556.503
   2801932      10943        33.62            1.532              140    240.198
   3596931       3257        43.16            0.613            188.3    229.212
   4617498       2654        55.41            0.630            237.2    233.598
   5927633       2126        71.13            0.647            304.4    233.665
   7609496       1267        91.31            0.493            389.2    234.640
   9768559       1145        117.2            0.575            502.6    233.233
  12540217        999        150.5            0.640            640.3    235.024
  16098286        765        193.2            0.630            823.1    234.688
  20665895        635          248            0.671             1057    234.549
  26529484        528        318.4            0.713             1350    235.844
  34056764        429        408.7            0.745             1737    235.248
  43719779        339        524.6            0.756             2229    235.366
  56124507        282        673.5            0.817             2898    232.370
  72048860        229        864.6            0.841             3674    235.338
  92491472        189         1110            0.893             4723    235.006
 118734320        147         1425            0.888             6043    235.772
 152423120        117         1829            0.906             7746    236.132
 195670531         89         2348            0.931        1.046e+04    224.428
