# Torch version:  2.4.0+cu124
# GPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100      21147       0.0012            0.723            34.17      0.035
       146      19814     0.001752            0.740            37.33      0.047
       215      19950      0.00258            0.747            37.44      0.069
       316      19831     0.003792            0.743            37.47      0.101
       464      19907     0.005568            0.745             37.4      0.149
       681      19858     0.008172            0.740            37.28      0.219
      1000      19642        0.012            0.743            37.81      0.317
      1467      19699       0.0176            0.741            37.62      0.468
      2154      21822      0.02585            0.284            13.01      1.987
      3162      46872      0.03794            0.615            13.11      2.894
      4641      49661      0.05569            0.654            13.17      4.230
      6812      48879      0.08174            0.636            13.01      6.283
     10000      19734         0.12            0.748            37.91      3.165
     14677      19530       0.1761            0.742            38.02      4.633
     21544      19810       0.2585            0.751             37.9      6.821
     31622      19629       0.3795            0.739            37.64     10.082
     46415      19636        0.557            0.746            37.99     14.660
     68129      19915       0.8175            0.750            37.66     21.707
    100000      19635          1.2            0.739            37.64     31.883
    146779      17436        1.761            0.658            37.75     46.652
    215443      18033        2.585            0.681            37.76     68.466
    316227      19454        3.795            0.744            38.24     99.227
    464158      18882         5.57            0.712            37.68    147.802
    681292      18305        8.176            0.694            37.92    215.580
   1000000      18989           12            0.714             37.6    319.116
   1467799      17576        17.61            0.664            37.78    466.157
   2154434      17878        25.85            0.674            37.69    685.955
   3162277       5207        37.95            0.829            159.2    238.411
   4641588       3606         55.7            0.872            241.8    230.359
   6812920       2528        81.76            0.933              369    221.568
  10000000       1808          120            0.968            535.3    224.159
  14677992       1168        176.1            0.934            799.5    220.297
  21544346        812        258.5            0.940             1158    223.270
  31622776        562        379.5            0.949             1689    224.679
  46415888        390          557            0.982             2518    221.226
  68129206        269        817.6            0.987             3669    222.854
 100000000        181         1200            0.967             5344    224.571
 146779926        112         1761            0.893             7974    220.876
 215443469         83         2585            0.957        1.153e+04    224.246
 316227766         57         3795            0.969        1.701e+04    223.127
