# Triton version:  3.0.0
# GPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time (us)  BW(GB/s)  
       100          4       0.0012            0.000            40.18      0.030
       142      33801     0.001704            0.625            18.48      0.092
       203      33895     0.002436            0.627            18.49      0.132
       289      33613     0.003468            0.628            18.67      0.186
       412      33523     0.004944            0.625            18.63      0.265
       587      33496     0.007044            0.620            18.51      0.380
       837      33748      0.01004            0.630            18.67      0.538
      1193      33704      0.01432            0.631            18.73      0.764
      1701      33419      0.02041            0.621            18.59      1.098
      2424      33611      0.02909            0.628            18.67      1.558
      3455      33437      0.04146            0.625             18.7      2.217
      4923      33627      0.05908            0.633            18.82      3.139
      7017      33701       0.0842            0.629            18.65      4.514
     10000      33679         0.12            0.625            18.56      6.467
     14251      33431        0.171            0.625            18.69      9.151
     20309      33187       0.2437            0.621            18.73     13.015
     28942      33517       0.3473            0.623            18.59     18.687
     41246      33328        0.495            0.625            18.74     26.414
     58780      33321       0.7054            0.625            18.76     37.598
     83767      33355        1.005            0.617             18.5     54.324
    119377      33353        1.433            0.624             18.7     76.608
    170125      33275        2.042            0.622            18.69    109.243
    242446      33310        2.909            0.624            18.72    155.402
    345510      33350        4.146            0.625            18.74    221.205
    492388      33174        5.909            0.626            18.87    313.045
    701703      33091         8.42            0.623            18.84    446.994
   1000000      33494           12            0.617            18.42    651.360
   1425102      28198         17.1            0.531            18.84    907.838
   2030917      24559        24.37            0.461            18.77   1298.379
   2894266       9728        34.73            0.751            77.23    449.693
   4124626       4643         49.5            0.962            207.2    238.890
   5878016       3056        70.54            0.938              307    229.766
   8376776       2202        100.5            0.950            431.2    233.100
  11937766       1603        143.3            0.965              602    237.974
  17012542       1027        204.2            0.902              878    232.519
  24244620        760        290.9            0.928             1222    238.177
  34551072        522        414.6            0.941             1803    229.922
  49238826        386        590.9            0.959             2483    237.930
  70170382        267          842            0.951             3562    236.385
 100000000        190         1200            0.989             5204    230.595
