# TVM version:  0.17.dev0
# GPU
#     N         nloop     size(MB)     elapsed time(s)  kernel time(us)   BW(GB/s)  
       100     145338       0.0012            0.408            2.806      0.428
       145     154014      0.00174            0.436            2.833      0.614
       212     153660     0.002544            0.431            2.805      0.907
       310     153988      0.00372            0.434             2.82      1.319
       453     155126     0.005436            0.438            2.821      1.927
       661     153787     0.007932            0.432            2.808      2.825
       965     154245      0.01158            0.436            2.827      4.096
      1408     155204       0.0169            0.437            2.815      6.003
      2055     153315      0.02466            0.429            2.798      8.814
      2998     154472      0.03598            0.434            2.812     12.792
      4375     153143       0.0525            0.434            2.835     18.516
      6384     152134      0.07661            0.427            2.808     27.286
      9316     152771       0.1118            0.437            2.861     39.068
     13593     151604       0.1631            0.433            2.854     57.151
     19835     149199        0.238            0.419            2.809     84.732
     28942     150561       0.3473            0.427            2.839    122.336
     42231     147000       0.5068            0.415            2.825    179.407
     61623     144161       0.7395            0.407            2.825    261.768
     89917     138779        1.079            0.389            2.806    384.592
    131204     132289        1.574            0.373            2.821    558.152
    191448     125058        2.297            0.367            2.934    782.930
    279353     114061        3.352            0.413             3.62    926.068
    407620     102742        4.891            0.481            4.684   1044.273
    594783      88570        7.137            0.547            6.178   1155.227
    867883      74812        10.41            0.629            8.405   1239.139
   1266380      59955         15.2            0.700            11.67   1302.117
   1847849      47014        22.17            0.762            16.22   1367.285
   2696306      34772        32.36            0.814             23.4   1382.620
   3934339       5133        47.21            0.977            190.3    248.100
   5740825       3344        68.89            0.987            295.2    233.404
   8376776       2364        100.5            0.995              421    238.787
  12223047       1578        146.7            0.974            617.3    237.607
  17835367        985          214            0.891            904.3    236.680
  26024633        684        312.3            1.025             1499    208.386
  37974072        497        455.7            0.985             1982    229.952
  55410203        331        664.9            0.940             2841    234.018
  80852286        228        970.2            0.947             4152    233.704
 117976327        165         1416            0.998             6046    234.166
 172146198        112         2066            0.997             8905    231.984
 251188643         67         3014            0.864         1.29e+04    233.702
